Prot1,Prot2,Score
A0A087WTH5,v_1,0.97314
A0A087X1C5,v_0,0.96361
A0A087X1C5,v_1,0.744855
A0A096LNP1,v_121,0.95763
A0A096LP01,v_1,0.719
A0A0B4J2D5,v_1,0.845
A0A140G945,v_0,0.8354299999999999
A0A140G945,v_1,0.7944899999999999
A0A140G945,v_4,0.85443
A0A1B0GTU1,v_0,0.93895
A0A1B0GUS4,v_1,0.95435
A0A1B0GUS4,v_4,0.74254
A0A1B0GVZ6,v_0,0.98646
A0A1B0GVZ6,v_1,0.96913
A0A1W2PPG7,v_1,0.715195
A0A1W2PRP0,v_1,0.7103
A0A1W2PRP0,v_2,0.70292
A0A1W2PRP0,v_4,0.7041999999999999
A0AUZ9,v_1,0.745
A0PG75,v_1,0.781
A0PJK1,v_1,0.745115
A0PJX4,v_1,0.84
A0PK11,v_1,0.711
A1A4V9,v_1,0.93952
A1A580,v_1,0.8688
A1A580,v_4,0.87536
A1A5B4,v_1,0.89405
A1A5D9,v_1,0.8595200000000001
A1KXE4,v_1,0.808
A1KXE4,v_2,0.913
A1KXE4,v_4,0.7863399999999999
A1L162,v_1,0.84
A1L168,v_1,0.812
A1L168,v_4,0.8964
A1YPR0,v_1,0.87316
A2A3N6,v_1,0.73332
A2IDD5,v_1,0.757
A2RRL7,v_0,0.89344
A2RRL7,v_1,0.8664
A2RU48,v_1,0.85552
A2RUQ5,v_1,0.8736
A2RUR9,v_1,0.8715200000000001
A2RUT3,v_0,0.9024
A4D1E1,v_1,0.9
A4D1Z8,v_1,0.736
A4QPB2,v_1,0.8992
A4UGR9,v_1,0.8515999999999999
A5PLL1,v_1,0.741
A5PLN9,v_0,0.99385
A5PLN9,v_1,0.88552
A5PLN9,v_164,0.7148
A5PLN9,v_2,0.99744
A5PLN9,v_4,0.84
A6H8Z2,v_0,0.84
A6H8Z2,v_1,0.84
A6NC42,Q4VXA5,0.94848
A6NC42,v_1,0.705
A6NC78,v_1,0.910025
A6NCE7,v_0,0.8871199999999999
A6NCE7,v_1,0.84
A6NCE7,v_2,0.84
A6NCE7,v_4,0.793
A6NCF6,v_0,0.79508
A6NCF6,v_1,0.80074
A6NCI4,v_1,0.76
A6NCL2,v_1,0.7
A6NCM1,v_1,0.758
A6NDN8,v_8,0.7706
A6NDU8,Q7Z5A8,0.868
A6NDU8,v_1,0.84
A6NDV4,v_1,0.762
A6NDX5,v_0,0.7039549999999999
A6NDX5,v_1,0.7075
A6NDX5,v_28,0.706745
A6NEC2,v_1,0.78251
A6NEF3,v_82,0.991125
A6NEL3,v_1,0.90951
A6NF01,v_8,0.7367199999999999
A6NF34,v_1,0.708
A6NFA1,v_1,0.762
A6NFD8,v_1,0.73148
A6NFN3,v_0,0.74
A6NFN3,v_1,0.763
A6NFN3,v_40,0.70435
A6NFN3,v_8,0.938
A6NGQ2,Q4VXA5,0.944
A6NGQ2,Q6TGC4,0.707
A6NGQ2,v_2,0.8420000000000001
A6NGU5,v_0,0.98138
A6NGU5,v_1,0.7222
A6NGU5,v_79,0.86287
A6NGW2,v_25,0.98528
A6NHM9,v_1,0.92628
A6NHQ4,v_1,0.90768
A6NHQ4,v_4,0.95216
A6NHY2,v_2,0.77704
A6NHZ5,v_0,0.725
A6NI61,v_1,0.877
A6NI79,v_1,0.8216
A6NIH7,v_1,0.8891850000000001
A6NIH7,v_8,0.7568
A6NIZ1,v_0,0.98552
A6NIZ1,v_1,0.75471
A6NJY1,v_1,0.7207399999999999
A6NK44,v_1,0.94768
A6NK97,v_1,0.74
A6NKH3,v_1,0.87015
A6NKL6,v_1,0.74
A6NKN8,v_1,0.84
A6NKU9,v_1,0.8
A6NKX4,v_0,0.731
A6NKX4,v_1,0.71
A6NL99,O14520,0.93055
A6NLJ0,v_1,0.701
A6NLU5,v_1,0.75842
A6NLU5,v_10,0.7374149999999999
A6NLU5,v_2,0.8059050000000001
A6NLU5,v_54,0.852295
A6NLX3,v_0,0.732
A6NLX3,v_1,0.8
A6NLX3,v_2,0.701
A6NM43,v_1,0.72201
A6NMT0,Q03828,0.72796
A6NMT0,v_0,0.76759
A6NMT0,v_1,0.7306900000000001
