Nodes,Degree
A0A087WTH5,1
v_1,1196
A0A087X1C5,2
v_0,517
A0A096LNP1,1
v_121,4
A0A096LP01,1
A0A0B4J2D5,1
A0A140G945,3
v_4,270
A0A1B0GTU1,1
A0A1B0GUS4,2
A0A1B0GVZ6,2
A0A1W2PPG7,1
A0A1W2PRP0,3
v_2,359
A0AUZ9,1
A0PG75,1
A0PJK1,1
A0PJX4,1
A0PK11,1
A1A4V9,1
A1A580,2
A1A5B4,1
A1A5D9,1
A1KXE4,3
A1L162,1
A1L168,2
A1YPR0,1
A2A3N6,1
A2IDD5,1
A2RRL7,2
A2RU48,1
A2RUQ5,1
A2RUR9,1
A2RUT3,1
A4D1E1,1
A4D1Z8,1
A4QPB2,1
A4UGR9,1
A5PLL1,1
A5PLN9,5
v_164,4
A6H8Z2,2
A6NC42,2
Q4VXA5,3
A6NC78,1
A6NCE7,4
A6NCF6,2
A6NCI4,1
A6NCL2,1
A6NCM1,1
A6NDN8,1
v_8,151
A6NDU8,2
Q7Z5A8,5
A6NDV4,1
A6NDX5,3
v_28,11
A6NEC2,1
A6NEF3,1
v_82,2
A6NEL3,1
A6NF01,1
A6NF34,1
A6NFA1,1
A6NFD8,1
A6NFN3,4
v_40,7
A6NGQ2,3
Q6TGC4,4
A6NGU5,3
v_79,6
A6NGW2,1
v_25,6
A6NHM9,1
A6NHQ4,2
A6NHY2,1
A6NHZ5,1
A6NI61,1
A6NI79,1
A6NIH7,2
A6NIZ1,2
A6NJY1,1
A6NK44,1
A6NK97,1
A6NKH3,1
A6NKL6,1
A6NKN8,1
A6NKU9,1
A6NKX4,2
A6NL99,1
O14520,3
A6NLJ0,1
A6NLU5,4
v_10,35
v_54,6
A6NLX3,3
A6NM43,1
A6NMT0,4
Q03828,4
A6NMY6,3
Q5VT79,4
v_24,9
A6NMZ5,1
A6NN90,1
A6NNL5,1
A6NNP5,1
A6NNT2,3
Q08AI6,2
A6PVI3,4
A6XGL0,2
A7MD48,2
A8MPS7,1
A8MT19,1
A8MT65,1
A8MTL3,3
A8MTZ0,2
A8MUH7,1
A8MUU1,2
A8MV65,3
P28347,6
A8MV81,1
A8MVX0,3
A8MW95,1
A8MWD9,3
A8MWK0,1
A8MWL6,1
A8MWL7,1
Q9NUH8,4
A8MXQ7,1
A8MXU0,1
A8MZ97,2
B1APH4,1
B2CW77,1
B2RPK0,2
B7Z368,1
B7ZBB8,1
C9J7I0,1
C9JL84,1
C9JXX5,3
E7ERA6,1
E7EU14,1
E9PRG8,1
G2XKQ0,1
G9CGD6,3
H3BNL1,1
H3BR10,1
O00115,2
O00141,13
P04150,18
P42336,29
P42345,20
P60484,21
Q7Z406,5
Q96BR1,9
Q9NVA4,4
v_9,6
O00160,4
O00287,4
O00329,17
O00443,17
O00750,13
O60542,6
P42338,18
P48736,17
P78527,22
Q8NEB9,20
Q96Q15,15
Q9UBF8,12
v_65,9
Q5HYK7,5
Q5SZD1,6
v_104,7
O00754,8
P49641,8
Q16706,9
Q9Y2E5,5
O00762,7
P55317,12
Q86Y91,5
O14494,1
O14512,3
O14513,1
Q8NBQ7,2
v_110,2
O14548,4
O14569,1
O14626,1
O14894,1
O14926,1
O15063,2
O15392,4
Q96A19,4
O15393,8
P07288,8
P10275,26
P20151,8
Q99801,10
O15428,1
O15482,6
Q14667,2
v_19,5
O15529,2
O15535,3
O43299,4
O43422,7
P38935,4
Q8WTV1,2
v_111,4
O43781,3
Q569H4,3
O43866,1
O43908,4
O43930,1
O60290,1
O60299,3
O60361,2
O60397,1
O60519,2
O60676,2
O60704,2
O60830,4
O75071,1
O75112,2
O75123,1
O75343,2
O75352,3
O75409,1
O75425,1
O75575,7
v_116,6
v_151,4
O75711,1
O76054,2
v_118,4
O94854,1
O94905,5
O95045,3
Q9H0P0,6
O95158,2
O95389,4
v_83,7
O95397,1
O95447,2
O95948,1
O95965,1
O96033,1
P00915,2
P01148,8
v_62,6
P01215,1
P01242,1
P01889,11
P04439,11
P10321,11
P17693,12
P30511,12
Q95460,9
v_75,8
P28845,4
Q14994,6
Q15672,5
Q15788,13
Q9UKL3,8
Q9Y5X4,4
Q9Y618,10
P04211,4
P04745,5
P05093,8
P18405,7
P37058,6
P42330,7
P98187,4
P05160,4
P22891,6
P05204,4
P06881,1
P08118,1
P09544,5
P0C263,2
P0C264,2
Q5T9Z0,1
P0C2L3,1
P0C2S0,1
Q9P2K5,5
P0C672,1
P0C7N8,1
P0C7P4,2
P0C7Q2,1
P0C7Q5,1
P0C7T8,2
Q5TH69,3
P0C7V7,2
P0C7X4,1
P0C7X5,1
Q96NJ3,3
P0C851,2
P0C860,1
P0CAP1,2
P0CAT3,1
P0CB47,2
P0CB48,1
P0CG22,2
P0CG34,2
P0CG35,2
P0CJ68,4
P0DMP1,2
v_80,6
P0CJ74,1
P0CW00,2
Q01534,4
v_137,2
P0CW24,1
P0DJD0,3
P0DJD3,4
v_39,2
P0DKL9,1
P0DM35,1
P0DME0,3
P0DMN0,2
P0DN76,4
Q8WU68,3
P0DP24,1
P0DPK3,2
v_33,16
P0DQD5,1
P15514,5
Q05066,2
Q07912,6
Q96K83,4
Q9NQU5,4
Q9Y675,3
P10645,4
v_170,3
P10745,2
P13500,8
P22897,5
Q9NPB9,4
v_7,6
P15428,2
