original_node,new_node
A0A024RBG1,v_1
A0A075B6H7,v_2
A0A075B6H8,v_2
A0A075B6H9,v_2
A0A075B6I0,v_2
A0A075B6I1,v_2
A0A075B6I3,v_2
A0A075B6I4,v_2
A0A075B6I6,v_2
A0A075B6I7,v_2
A0A075B6I9,v_2
A0A075B6J1,v_2
A0A075B6J2,v_2
A0A075B6J6,v_2
A0A075B6J9,v_2
A0A075B6K0,v_2
A0A075B6K2,v_2
A0A075B6K4,v_2
A0A075B6K5,v_2
A0A075B6K6,v_2
A0A075B6L6,v_2
A0A075B6N1,v_2
A0A075B6N3,v_2
A0A075B6N4,v_2
A0A075B6P5,v_2
A0A075B6Q5,v_2
A0A075B6R2,v_2
A0A075B6R9,v_2
A0A075B6S2,v_2
A0A075B6S4,v_2
A0A075B6S5,v_2
A0A075B6S6,v_2
A0A075B6S9,v_2
A0A075B6T6,v_2
A0A075B6T7,v_2
A0A075B6U4,v_2
A0A075B6V5,v_2
A0A075B6W5,v_2
A0A075B759,v_35
A0A075B767,v_35
A0A087WSX0,v_2
A0A087WSY4,v_2
A0A087WSY6,v_2
A0A087WSZ0,v_2
A0A087WSZ9,v_2
A0A087WT01,v_2
A0A087WTH5,A0A087WTH5
A0A087WV53,v_10
A0A087WV62,v_2
A0A087WVF3,v_2
A0A087WW87,v_2
A0A087WX78,v_2
A0A087WXS9,v_2
A0A087X0K7,v_2
A0A087X0M5,v_2
A0A087X179,v_2
A0A087X1C5,A0A087X1C5
A0A087X1G2,v_2
A0A096LNP1,A0A096LNP1
A0A096LP01,A0A096LP01
A0A096LP55,v_8
A0A0A0MRZ7,v_2
A0A0A0MRZ8,v_2
A0A0A0MRZ9,v_2
A0A0A0MS00,v_2
A0A0A0MS03,v_2
A0A0A0MS04,v_2
A0A0A0MS05,v_2
A0A0A0MS06,v_2
A0A0A0MS14,v_2
A0A0A0MS15,v_2
A0A0A0MT36,v_2
A0A0A6YYC5,v_2
A0A0A6YYD4,v_2
A0A0A6YYG2,v_2
A0A0A6YYG3,v_2
A0A0A6YYK4,v_2
A0A0A6YYK7,v_2
A0A0A6YYL3,v_1
A0A0B4J1U3,v_2
A0A0B4J1U6,v_2
A0A0B4J1U7,v_2
A0A0B4J1V0,v_2
A0A0B4J1V1,v_2
A0A0B4J1V2,v_2
A0A0B4J1V6,v_2
A0A0B4J1V7,v_2
A0A0B4J1X5,v_2
A0A0B4J1X8,v_2
A0A0B4J1Y8,v_10
A0A0B4J1Y9,v_2
A0A0B4J1Z2,v_2
A0A0B4J235,v_2
A0A0B4J238,v_2
A0A0B4J240,v_2
A0A0B4J241,v_2
A0A0B4J245,v_2
A0A0B4J248,v_2
A0A0B4J249,v_2
A0A0B4J263,v_2
A0A0B4J264,v_2
A0A0B4J266,v_2
A0A0B4J271,v_2
A0A0B4J272,v_2
A0A0B4J273,v_2
A0A0B4J274,v_2
A0A0B4J275,v_2
A0A0B4J276,v_2
A0A0B4J277,v_2
A0A0B4J279,v_2
A0A0B4J2A2,v_35
A0A0B4J2D5,A0A0B4J2D5
A0A0B4J2D9,v_2
A0A0B4J2E0,v_2
A0A0B4J2F2,v_2
A0A0B4J2H0,v_2
A0A0C4DH24,v_2
A0A0C4DH25,v_2
A0A0C4DH26,v_2
A0A0C4DH29,v_2
A0A0C4DH30,v_2
A0A0C4DH31,v_2
A0A0C4DH32,v_2
A0A0C4DH33,v_2
A0A0C4DH34,v_2
A0A0C4DH35,v_2
A0A0C4DH36,v_2
A0A0C4DH38,v_2
A0A0C4DH39,v_2
A0A0C4DH41,v_2
A0A0C4DH42,v_2
A0A0C4DH43,v_2
A0A0C4DH55,v_2
A0A0C4DH59,v_2
A0A0C4DH67,v_2
A0A0C4DH68,v_2
A0A0C4DH69,v_2
A0A0C4DH72,v_2
A0A0C4DH73,v_2
A0A0G2JMD5,v_2
A0A0G2JMI3,v_2
A0A0G2JS06,v_2
A0A0J9YVY3,v_2
A0A0J9YX35,v_2
A0A0J9YX75,v_2
A0A0J9YXX1,v_2
A0A0J9YXY3,v_2
A0A0K0K1A3,v_2
A0A0K0K1A5,v_2
A0A0K0K1C0,v_2
A0A0K0K1C4,v_2
A0A0K0K1D8,v_2
A0A0K0K1E9,v_2
A0A0K0K1G6,v_2
A0A0K0K1G8,v_2
A0A0K2S4Q6,v_2
A0A0U1RQE8,v_72
A0A140G945,A0A140G945
A0A183,v_2
A0A1B0GTU1,A0A1B0GTU1
A0A1B0GUS4,A0A1B0GUS4
A0A1B0GVZ6,A0A1B0GVZ6
A0A1B0GX31,v_2
A0A1B0GX49,v_2
A0A1B0GX51,v_2
A0A1B0GX56,v_2
A0A1B0GX68,v_2
A0A1B0GX78,v_2
A0A1B0GX95,v_2
A0A1B0GXF2,v_2
A0A1W2PPG7,A0A1W2PPG7
A0A1W2PR19,v_8
A0A1W2PR48,v_2
A0A1W2PRP0,A0A1W2PRP0
A0A2R8Y619,v_2
A0A539,v_2
A0A576,v_2
A0A577,v_2
A0A578,v_2
A0A584,v_2
A0A589,v_2
A0A597,v_2
A0A599,v_2
A0A5A2,v_2
A0A5A6,v_2
A0A5B0,v_2
A0A5B6,v_2
A0A5B9,v_2
A0AUZ9,A0AUZ9
A0AV02,v_1
A0AV96,v_1
A0AVF1,v_1
A0AVI2,v_56
A0AVI4,v_2
A0AVK6,v_1
A0AVT1,v_1
A0FGR8,v_8
A0FGR9,v_1
A0JD32,v_2
A0JLT2,v_1
A0JNW5,v_119
A0JP26,v_2
A0M8Q6,v_2
A0MZ66,v_2
A0PG75,A0PG75
A0PJE2,v_1
A0PJK1,A0PJK1
A0PJW6,v_1
A0PJX0,v_1
A0PJX2,v_1
A0PJX4,A0PJX4
A0PJY2,v_1
A0PJZ3,v_1
A0PK00,v_2
A0PK11,A0PK11
A0ZSE6,v_2
A1A4G5,v_184
A1A4S6,v_1
A1A4V9,A1A4V9
A1A4Y4,v_1
A1A519,v_2
A1A580,A1A580
A1A5B4,A1A5B4
A1A5C7,v_1
A1A5D9,A1A5D9
A1E959,v_1
A1IGU5,v_0
A1KXE4,A1KXE4
A1KZ92,v_1
A1L020,v_2
A1L0T0,v_1
A1L157,v_1
A1L162,A1L162
A1L167,v_1
A1L168,A1L168
A1L170,v_1
A1L188,v_2
A1L190,v_1
A1L1A6,v_2
A1L390,v_1
A1L3X0,v_1
A1L429,v_70
A1L443,v_50
A1L453,v_0
A1L4H1,v_2
A1L4K1,v_8
A1L4L8,v_176
A1X283,v_1
A1XBS5,v_1
A1YPR0,A1YPR0
A1Z1Q3,v_1
A2A288,v_2
A2A2V5,v_2
A2A2Y4,v_1
A2A2Z9,v_1
A2A368,v_0
A2A3K4,v_1
A2A3L6,v_4
A2A3N6,A2A3N6
A2AJT9,v_2
A2CJ06,v_2
A2IDD5,A2IDD5
A2NJV5,v_2
A2PYH4,v_1
A2RRD8,v_1
A2RRH5,v_2
A2RRL7,A2RRL7
A2RRP1,v_1
A2RTX5,v_1
A2RTY3,v_2
A2RU14,v_2
A2RU30,v_2
A2RU48,A2RU48
A2RU49,v_1
A2RU54,v_1
A2RU67,v_1
A2RUB1,v_2
A2RUB6,v_2
A2RUC4,v_1
A2RUH7,v_4
A2RUQ5,A2RUQ5
A2RUR9,A2RUR9
A2RUS2,v_1
A2RUT3,A2RUT3
A2RUU4,v_1
A2VCK2,v_2
A2VDF0,v_1
A2VDJ0,v_1
A2VEC9,v_2
